,name,team,rec_target,rec_rec,rec_yd,rec_td,fp,season,week,next_fp,rush_att,rush_yd,rush_td,afc_n,afc_s,afc_w,nfc_e,nfc_n,nfc_s,nfc_w,temperature,wind,precipitation,status_code
2884,Jason Witten,Cowboys,9.0,5.0,40.0,0.0,4.0,2015,14,4.9,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0
2885,Jeff Cumberland,Jets,5.0,4.0,50.0,0.0,5.0,2014,1,1.4,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2886,Jeff Cumberland,Jets,2.0,0.0,0.0,0.0,0.0,2014,9,0.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2887,Jeff Cumberland,Jets,3.0,1.0,5.0,0.0,0.5,2014,12,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2888,Jeff Cumberland,Jets,2.0,0.0,0.0,0.0,0.0,2014,14,2.2,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2889,Jeff Cumberland,Jets,5.0,3.0,43.0,1.0,10.3,2014,16,8.3,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2890,Zach Sudfeld,Jets,1.0,1.0,6.0,0.0,0.6,2014,16,4.4,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2891,Jeff Cumberland,Jets,3.0,2.0,23.0,1.0,8.3,2014,17,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2892,Jeff Cumberland,Jets,0.0,0.0,0.0,0.0,0.0,2015,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2893,Jeff Cumberland,Jets,0.0,0.0,0.0,0.0,0.0,2015,2,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2894,Jeff Cumberland,Jets,4.0,2.0,10.0,0.0,1.0,2015,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2895,Jeff Cumberland,Jets,0.0,0.0,0.0,0.0,0.0,2015,4,1.6,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2896,Jeff Cumberland,Jets,3.0,1.0,16.0,0.0,1.6,2015,7,0.7,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2897,Jeff Cumberland,Jets,3.0,1.0,7.0,0.0,0.7,2015,8,4.4,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2898,Kellen Davis,Jets,1.0,1.0,1.0,1.0,6.1,2015,8,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2899,Jermaine Gresham,Bengals,5.0,2.0,16.0,0.0,1.6,2014,1,2.5,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2900,Tyler Eifert,Bengals,3.0,3.0,37.0,0.0,3.7,2014,1,22.4,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2901,Jermaine Gresham,Bengals,3.0,3.0,25.0,0.0,2.5,2014,2,1.5,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2902,Jermaine Gresham,Bengals,4.0,2.0,15.0,0.0,1.5,2014,5,6.8,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
2903,Jermaine Gresham,Bengals,7.0,6.0,68.0,0.0,6.8,2014,6,4.8,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0
